游戏类型	厂商	游戏名称
JL	Color Game_Color Game
FC	Chinese New Year Moreways_大过年路路发
JL	Boxing King_拳王
FC	Sugar Bang Bang_蜜糖爆击
JDB	Magic Ace WILD LOCK_魔幻王牌 WILD LOCK
JL	Crazy777_疯狂777
PG	Mahjong Ways 2_麻将胡了2
FC	JUNGLE BANG BANG_丛林爆击
PP	Gates of Olympus Super Scatter_奥林匹斯之门超神力
JL	Super Ace II_超级王牌 II
JL	Wild Ace_百搭王牌
PG	Geisha's Revenge_艺伎之刃
PG	Poker Kingdom Win_扑克王国
PG	Anubis Wrath_阿努比斯
JL	Pirate Queen 2_海盗女王2
FC	Chinese New Year 2_大过年2
YB	Royal Ace_王牌贵宾
PG	Cocktail Nights_夜醉佳人
YB	Dragon Gems_好运龙宝
FC	Super Elements_元素狂潮
PP	Gates of Olympus 1000_奥林匹斯之门 1000
FC	Lucky Fortunes_财富连连
JL	Circus Joker 4096_馬戲團小丑 4096
JL	3 Super Ace_3 超級王牌
JL	Fortune Coins_幸运金币
BNG	Lucky Penny_幸运币大亨
JL	Mines Gold_Mines Gold
PP	Sweet Rush Bonanza_甜心糖果大富翁
JL	Jackpot Bingo_Jackpot Bingo
PG	Mahjong Ways_麻将胡了
PT	Premium Blackjack Single Hand_高级21点 - 单手

BTI	Basketball_篮球
DS88	Sabong_斗鸡
1BET	Cockfight_斗鸡
BTI	combo_组合投注
PIN	Basketball_篮球
UG2	Basketball_篮球
BTI	NBA2K_NBA2K
TF	Dota 2_刀塔 2
TF	CS:GO_反恐精英
BTI	TENNIS_网球
BTI	Soccer_足球
PIN	Parlay selection_混合过关
BTI	Dota2_刀塔2
3S2	Basketball_篮球
BTI	Volleyball_排球
UG2	Soccer_足球
TF	League of Legends_英雄联盟
PIN	E-Sports_电子竞技
PIN	Soccer_足球
BTI	Table Tennis_乒乓球
PIN	TENNIS_网球
TF	Valorant_无畏契约
BTI	CS2_反恐精英 2
3S2	Soccer_足球
BTI	LOL_LOL
TF	King of Glory_王者荣耀
UG2	E-Sports_电子竞技
TF	Parlay_串关
BTI	Ice Hockey_冰球
UG2	Volleyball_排球
BTI	Boxing_拳击
UG2	TENNIS_网球
BTI	FIFA_FIFA
3S2	Multiple Parlay_多重串关
PIN	Hockey_曲棍球
3S2	TENNIS_网球
BTI	V-Soccer_虚拟足球
PIN	Volleyball_排球
BTI	Valorant_无畏契约
UG2	Parlay_串关
PIN	Boxing_拳击
BTI	Football_美式足球
BTI	MMA_综合格斗
3S2	Volleyball_排球
TF	Arena of Valor_传说对决
BTI	CRICKET_板球
UG2	Boxing & MMA_拳击
BTI	Rugby Union_橄榄球联合会
BTI	Baseball_棒球
UG2	Baseball_棒球

RNG	AUX	Sweet Gummy_甜蜜软糖
RNG	RLX	Winter Champions_冬季冠军

FISH	TA	Bombing Fishing_炸鱼来了
RNG	TA	Jackpot Joker Fever_彩金小丑 狂热
RNG	PP	Mahjong Wins Super Scatter_麻将大胜超级进财
RNG	PP	Gates of Olympus 1000_奥林匹斯之门 1000
RNG	PP	Gates of Olympus_奥林匹斯之门
RNG	PG	Wild Bounty Showdown_赏金大对决
FISH	TA	Jackpot Fishing_极速彩金捕鱼
RNG	PP	Gates of Olympus Super Scatter_奥林匹斯之门超神力
RNG	PP	Sweet Bonanza 1000_甜入心扉 1000
RNG	PG	Lucky Neko_招财喵
RNG	TA	Clover Coins 3x3_幸运草金币 3x3
RNG	TA	Fortune Coins_幸运金币
RNG	TA	Pirate Queen 2_海盗女王2
RNG	PP	Big Bass Bonanza™_疯狂大鲈鱼™
RNG	PP	Lucky's Wild Pub_疯狂好运酒吧
LIVE	PP	One Blackjack 5 -Turkish_唯一二十一点5土耳其
RNG	PG	Dragon's Treasure Quest_寻龙宝藏
RNG	PP	Starlight Princess 1000_星光公主 1000
RNG	PP	Gold Party™_黄金派对™
RNG	PP	Cash Box™_金库宝藏™
RNG	PG	Wild Bandito_亡灵大盗
RNG	TA	Wild Ace_百搭王牌
RNG	TA	Clover Coins 4x4_幸運草金幣4x4
RNG	TA	Jackpot Joker_彩金小丑
RNG	TA	Crazy777 2_疯狂777 2
RNG	PP	Mummy's Jewels_古墓秘宝
RNG	TA	100 Blazing Clover_100 Blazing Clover
RNG	PP	Sweet Bonanza_甜入心扉
RNG	PP	Sleeping Dragon_沉睡之龙
RNG	PP	Fire Hot 5_热火 5
RNG	PG	Treasures of Aztec_寻宝黄金城
FISH	TA	Boom Legend_夺宝传奇
RNG	PG	Crypto Gold_比特淘金
RNG	PG	Gemstones Gold_宝石矿工
LIVE	PP	Roulette 6  Turkish_轮盘6 土耳其
FISH	TA	Happy Fishing_开心捕鱼
RNG	PP	Candy Blitz Bombs_糖果闪电轰炸
RNG	PP	Super 7s_超级7s
FISH	TA	Dragon Fortune_飞龙宝藏
RNG	PP	Peppe's Pepperoni Pizza Plaza_意式腊香肠比萨
RNG	PP	Fire Hot 40_热火 40
RNG	PG	Museum Mystery_世界珍宝馆
RNG	TA	Chicken Dash_Chicken Dash
RNG	PP	Santa's Xmas Rush_极速圣诞快乐
RNG	HS	Le Viking_维京传奇
RNG	PG	Cocktail Nights_夜醉佳人
RNG	PP	Fortune of Aztec_阿兹特克之宝
RNG	TA	Money Coming Expanded Bets_疯狂钱来也扩充押注
RNG	TA	Money Pot_聚宝盆
RNG	PP	7 Clovers of Fortune_7幸运草

TA	Bombing Fishing_炸鱼来了
TA	Jackpot Fishing_极速彩金捕鱼
TA	Boom Legend_夺宝传奇
TA	Happy Fishing_开心捕鱼
TA	Dragon Fortune_飞龙宝藏
TA	Happy Fishing Lightning_一
TA	Ocean King Jackpot_海洋王大獎
TA	Mega Fishing_王者捕鱼
TA	Fortune Zombie Lightning_财富僵尸闪电
TA	Royal Shooter_Royal Shooter
FC	Fa Chai Fishing_发财捕鱼
TA	Dinosaur Tycoon II_猎龙大亨2
TA	Dinosaur Tycoon_猎龙大亨
